district_nces_code;polygon_area;district_name;cbsa_title;median_sale_price;median_sale_price_per_sqft;total_sales
0600001;546100314.967975;Acton-Agua Dulce Unified;Los Angeles-Long Beach-Anaheim, CA;490000;217.3233270794246404;442
0600006;28095849.1813272;Ross Valley Elementary School District;San Francisco-Oakland-Hayward, CA;877000;550.9641873278236915;822
0600016;45805799.3784401;Upland Unified School District;Los Angeles-Long Beach-Anaheim, CA;444000;241.0714285714285714;2129
0600019;42712149.4838367;Dublin Unified School District;San Francisco-Oakland-Hayward, CA;698595;383.5425383542538354;2410
0600020;120569124.671667;Pleasanton Unified School District;San Francisco-Oakland-Hayward, CA;827627;439.1566265060240964;2455
0600021;238046548.83063;Sunol Glen Unified School District;San Francisco-Oakland-Hayward, CA;1338500;543.9560439560439560;20
0600025;10219871.4869342;Manhattan Beach Unified School District;Los Angeles-Long Beach-Anaheim, CA;1850000;869.6969696969696970;1156
0600026;576364667.899495;El Tejon Unified School District;Los Angeles-Long Beach-Anaheim, CA;165000;121.8699186991869919;601
0600027;351872481.677674;Lake Elsinore Unified School District;Los Angeles-Long Beach-Anaheim, CA;295000;141.4451261077027948;5367
0600029;434391114.280329;Murrieta Valley Unified School District;Los Angeles-Long Beach-Anaheim, CA;335000;149.4879147890208931;5343
0600032;16119880.6922928;Redondo Beach Unified School District;Los Angeles-Long Beach-Anaheim, CA;805000;462.2013317665491579;2582
0600047;1060935155.81296;Tracy Joint Unified School District;San Francisco-Oakland-Hayward, CA;365000;185.0117096018735363;3068
0600153;30569069.1697807;Alhambra Unified School District;Los Angeles-Long Beach-Anaheim, CA;530000;360.5757501829714565;1818
0601410;59566336.5009394;Lammersville Joint Unified;San Francisco-Oakland-Hayward, CA;446000;189.3222264293828095;938
0601428;10071548.2815033;Wiseburn Unified School District;Los Angeles-Long Beach-Anaheim, CA;600000;433.4170854271356784;438
0601620;38888635.1290065;Abc Unified School District;Los Angeles-Long Beach-Anaheim, CA;430000;303.0303030303030303;1853
0601650;210684020.192607;Acalanes Union High School District;San Francisco-Oakland-Hayward, CA;689000;418.2156133828996283;5304
0601710;867199381.348487;Adelanto Elementary School District;Los Angeles-Long Beach-Anaheim, CA;167000;91.6996047430830040;1796
0601770;29962012.1111466;Alameda Unified School District;San Francisco-Oakland-Hayward, CA;735000;456.7203131796433232;1604
0601860;4391861.54213168;Albany City Unified;San Francisco-Oakland-Hayward, CA;680000;522.3123732251521298;432
0602610;55180556.0314819;Anaheim City Schools;Los Angeles-Long Beach-Anaheim, CA;419000;284.9740932642487047;2990
0602630;105103303.231511;Anaheim Union High School District;Los Angeles-Long Beach-Anaheim, CA;430000;291.0958904109589041;6424
0602670;836315465.609337;West Sonoma County Union High;San Francisco-Oakland-Hayward, CA;480000;355.5798687089715536;1667
0602820;3620355973.03289;Antelope Valley Union High School District;Los Angeles-Long Beach-Anaheim, CA;210000;116.3184641445511011;14985
0602850;106875020.876522;Antioch Unified School District;San Francisco-Oakland-Hayward, CA;313000;173.7451737451737452;4164
0602970;27636531.7742359;Arcadia Unified School District;Los Angeles-Long Beach-Anaheim, CA;1025000;488.4004884004884005;1694
0603270;805099531.697372;Arvin Union Elementary School District;Los Angeles-Long Beach-Anaheim, CA;131500;89.5937673900946021;127
0603600;387946950.768449;Azusa Unified School District;Los Angeles-Long Beach-Anaheim, CA;353000;273.9005046863734679;1528
0603690;22836354.363054;Baldwin Park Unified School District;Los Angeles-Long Beach-Anaheim, CA;335000;271.7889908256880734;992
